pdf_id,A,B,C,D,notas,revisor
301,1,0,1,FF clasica,Muestra intencional de 68 participantes en experiencias rurales seleccionadas; concluye necesidad de incentivar atributos APS en territorios.,codex_gpt
302,1,1,0,Debilidad importante,Muestra reducida de 20 mayores de proyecto UNAMI; reconoce sesgo/tamano y conclusion acotada a participantes.,codex_gpt
303,1,0,1,FF clasica,Encuesta transversal a trabajadores de 14 puestos; concluye efectos de baja informacion y vulnerabilidad laboral sin cautela muestral.,codex_gpt
304,1,0,0,Debilidad importante,Estudio transversal de salas de vacuna en distrito; conclusion local sobre inadecuaciones y gestion de riesgos.,codex_gpt
305,1,0,0,Debilidad importante,"Evaluacion antes-despues de curso de buenas practicas; conclusion pedagogica descriptiva segun escolaridad, sin extrapolacion fuerte.",codex_gpt
306,1,1,0,Debilidad importante,Serie longitudinal retrospectiva institucional de reacciones transfusionales; evalua practica local y gravedad por unidad.,codex_gpt
307,1,1,1,FF con reconocimiento,Estudio hospitalario con ventana temporal limitada reconocida; concluye eventos adversos por cateter y orienta prevencion.,codex_gpt
308,1,0,1,FF clasica,Corte transversal de 107 pacientes de hemodialisis de un hospital; concluye buena calidad de vida/autocuidado sin cautela visible.,codex_gpt
309,1,0,1,FF clasica,Analisis documental de 160 trabajos estudiantiles; propone intervencion pedagogica extensible a otras poblaciones sin cautela suficiente.,codex_gpt
310,1,1,0,Debilidad importante,Muestreo no probabilistico de 56 estudiantes; reconoce limitada generalizacion y conclusion sobre relacion academica local.,codex_gpt
311,1,0,1,FF clasica,Muestra por conveniencia de 102 universitarios; concluye estres como desencadenante/agravante de ansiedad sin reconocimiento visible.,codex_gpt
312,1,1,1,FF con reconocimiento,Muestras de agua y evaluacion deterministica de riesgo; reconoce incertidumbre metodologica y concluye riesgo sanitario amplio.,codex_gpt
313,1,0,0,Debilidad importante,Analisis de causas judiciales sobre Nusinersen; no es muestreo poblacional clasico y conclusiones se centran en eficiencia del proceso.,codex_gpt
314,1,1,0,Debilidad importante,"Estudio transversal prospectivo de 112 trabajadores; estima prevalencia/factores, pero conclusion se mantiene clinico-descriptiva.",codex_gpt
315,0,0,0,Sin falla relevante,Muestreo aleatorio estratificado de pacientes endoscopicos; no se observa falla A&C relevante.,codex_gpt
316,1,1,1,FF con reconocimiento,"Paginas de Instagram seleccionadas por busqueda; reconoce sesgo del mecanismo y datos no verificados, pero concluye incumplimiento etico.",codex_gpt
317,1,1,0,Debilidad importante,Pacientes hospitalizados evaluados por FPM; limitaciones del IMC/diseno y conclusion clinica moderada sobre asociacion.,codex_gpt
318,1,1,0,Debilidad importante,Muestra no probabilistica intencional de 31 pacientes con disfagia; reconoce seleccion y no seguimiento largo.,codex_gpt
319,0,0,0,No evaluable,"PDF corresponde a premio/compilacion de investigacion con resumenes, no a un articulo unico claramente auditable.",codex_gpt
320,1,1,1,FF con reconocimiento,Comparativo transversal con 14 pacientes CRC y 14 controles; reconoce muestra pequena y concluye necesidad de evaluacion nutricional.,codex_gpt
321,1,0,1,FF clasica,Encuesta multicentrica online a estudiantes de medicina; concluye conocimientos/aceptacion en Latinoamerica sin cautela suficiente.,codex_gpt
322,1,1,1,FF con reconocimiento,Encuesta virtual a 114 dentistas; reconoce tamano muestral/no representatividad y concluye bajo conocimiento normativo.,codex_gpt
323,1,1,1,FF con reconocimiento,Analisis secundario de gestantes vulnerables; reconoce sesgo de registros y concluye necesidad de estrategias/politicas.,codex_gpt
324,1,1,1,FF con reconocimiento,Pre-experimento con muestra no probabilistica y perdida de participantes; reconoce validez externa limitada y concluye mejoras fisicas.,codex_gpt
325,0,0,0,Sin falla relevante,Muestra probabilistica de estudiantes de medicina; no hay falla A&C relevante.,codex_gpt
326,1,1,1,FF con reconocimiento,Observacional multicentrico de hemodialisis; reconoce no causalidad/confusion y concluye factores asociados a mortalidad.,codex_gpt
327,1,0,1,FF clasica,Retrospectivo de 34 casos de hemorragia postparto; formula vigilancia y estrategias preventivas sin cautela visible.,codex_gpt
328,1,0,0,Debilidad importante,Estudio retrospectivo descriptivo de prevalencia en emergencia; limitaciones de diseno y conclusion principalmente descriptiva.,codex_gpt
329,1,1,0,Debilidad importante,"Retrospectivo institucional con muestra incompleta; reconoce sesgo y poblacion no general, conclusion diagnostica prudente.",codex_gpt
330,0,0,0,Sin falla relevante,Estudio epidemiologico veterinario con asociaciones descriptivas; no se aprecia falla de extrapolacion fuerte en el texto revisado.,codex_gpt
331,0,0,0,Sin falla relevante,"Evaluacion toxico/experimental en Apis mellifera; la inferencia central es de efecto letal bajo condiciones de estudio, no poblacional A&C.",codex_gpt
332,1,0,1,FF clasica,Comparacion productiva de lechones en region especifica; concluye efectividad/comportamiento productivo sin cautela muestral clara.,codex_gpt
333,0,0,0,Sin falla relevante,Muestra aleatoria estratificada de enfermeros; no se observa falla A&C relevante.,codex_gpt
334,1,0,1,FF clasica,Encuesta estratificada e entrevistas en docentes mongoles; concluye potencial del desarrollo profesional con alcance amplio sin cautela visible.,codex_gpt
335,0,0,0,Sin falla relevante,"Estudio mixto sobre inteligencia emocional docente; conclusiones se apoyan en analisis tipologico/modelo, sin falla A&C marcada.",codex_gpt
336,1,0,1,FF clasica,Investigacion derivada de muestra escolar/docente sobre astronomia; discute limitaciones formativas y practica con alcance amplio.,codex_gpt
337,0,0,0,Sin falla relevante,Analisis geoespacial/descriptivo con datos territoriales; no depende de muestra no probabilistica de participantes.,codex_gpt
338,1,1,1,FF con reconocimiento,Estudio con estudiantes de biologia; reconoce muestra reducida/conformidad entre pares y concluye impacto del distanciamiento academico.,codex_gpt
339,1,0,1,FF clasica,Estudio exploratorio de percepciones estudiantiles sobre YouTube; extrapola utilidad/percepciones educativas sin reconocimiento claro.,codex_gpt
340,1,0,1,FF clasica,Metodos mixtos con docentes universitarios colombianos; concluye ausencia de ensenanza SRL estandarizada sin cautela de muestreo visible.,codex_gpt
341,0,0,0,Sin falla relevante,Estudio mixto cualitativo sobre capacidades valoradas por formadores; conclusiones exploratorias sin inferencia estadistica fuerte.,codex_gpt
342,1,0,0,Debilidad importante,"Encuesta online y 20 entrevistas intencionales a profesionales TESOL; conclusiones sobre motivadores, con alcance descriptivo.",codex_gpt
343,1,0,0,Debilidad importante,Estudio correlacional de padres en un centro de Cochabamba; conclusion sobre relacion calidad de vida-bienestar sin fuerte extrapolacion.,codex_gpt
344,1,1,1,FF con reconocimiento,Cuasi-experimento educativo con dos grupos; reconoce limitaciones de diseno/evaluacion y concluye eficacia de material audiovisual.,codex_gpt
345,1,0,1,FF clasica,Estudio no experimental de docentes de Achocalla; concluye relacion inversa resiliencia-mobbing con alcance general local sin cautela.,codex_gpt
346,1,1,0,Debilidad importante,Corte transversal en dos unidades de colposcopia; reconoce tamano limitado/aceptabilidad y conclusion sobre prevalencia y necesidad de estudios.,codex_gpt
