pdf_id,A,B,C,D,notas,revisor
1,1,0,1,FF clasica,Muestreo no probabilístico (varias universidades) y extrapolación implícita a universidades de Ecuador sin advertir limitaciones.,gemini_flash
2,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia/intencional) en invernaderos del CHP. Extrapola prevalencia e incidencia a la población del CHP sin advertir limitaciones del muestreo.,gemini_flash
3,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia/consecutivo en escuelas) y se extrapolan los resultados a la población de escolares del cinturón productivo de La Plata sin advertir esta limitación.,gemini_flash
4,1,0,1,FF clasica,Muestreo por conveniencia y extrapolación a la población de escolares del periurbano sin advertir explícitamente las limitaciones de generalización.,gemini_flash
5,1,0,1,FF clasica,Muestreo no probabilístico de 11 localidades. Se extrapolan resultados a poblaciones más amplias en la discusión sin advertir explícitamente la limitación de la selección no probabilística.,gemini_flash
6,1,1,1,FF con reconocimiento,"Muestreo no probabilístico (voluntario online) y uso de inferencia estadística (t-test) para evaluar el impacto en la salud de perros, extrapolando implícitamente a la población, aunque se advierte so",gemini_flash
7,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia de clubes hípicos) y se extrapolan conclusiones sobre la microflora vaginal de 'mares' y 'razas' a una población mayor sin advertir las limitaciones.,gemini_flash
8,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia) y extrapolación de resultados a la región de Placas sin advertir explícitamente las limitaciones de generalización.,gemini_flash
9,1,1,1,FF con reconocimiento,"Muestreo por conveniencia y extrapolación explícita a la población de gatos, a pesar de reconocer limitaciones de tamaño y género de la muestra.",gemini_flash
10,1,0,1,FF clasica,Muestreo no probabilístico (selección intencional de 14 vacas por granja) y se extrapolan los resultados a 'intensive dairy farms' sin advertir la limitación.,gemini_flash
11,1,1,1,FF con reconocimiento,"Muestreo de granjas voluntario (no probabilístico) y se extrapola la prevalencia a la población de granjas tecnificadas de São Paulo, aunque se menciona la participación voluntaria.",gemini_flash
12,1,1,1,FF con reconocimiento,"Muestreo no probabilístico (7 mataderos específicos, sesgo en recolección) con inferencia estadística y extrapolación a la industria avícola, aunque se advierten limitaciones de muestreo.",gemini_flash
13,0,0,0,No evaluable,El estudio es una serie de casos retrospectiva que utiliza solo estadística descriptiva y no realiza inferencia estadística formal a una población mayor.,gemini_flash
14,1,1,1,FF con reconocimiento,"Muestreo por conveniencia (26 ovelhas) con inferencia y extrapolación a la producción ovina, pero se reconoce la necesidad de estudios específicos para generalizar.",gemini_flash
