timestamp,pdf_id,pdf_nombre,A_humano,B_humano,C_humano,D_humano,notas,A_ia,B_ia,C_ia,veredicto_ia,revisor
2026-04-27T09:28:52.049Z,1,00033_Praxis_Educativa_2025.pdf,1,1,1,FF clasica,NO APLICA,1,0,1,FF clasica,DIEGO MEZA
2026-04-27T09:31:23.138Z,2,00057_RIA_Revista_Investigaciones_Ag_2022.pdf,0,0,0,Sin falla relevante,,1,0,1,FF clasica,DIEGO MEZA
2026-04-27T09:34:28.990Z,3,00066_Revista_Argentina_de_Antropolo_2021.pdf,0,0,0,Sin falla relevante,,1,0,1,FF clasica,DIEGO MEZA
2026-04-27T12:35:51.633Z,4,00068_Revista_Argentina_de_Antropolo_2020.pdf,1,0,1,FF clasica,,1,1,1,FF con reconocimiento,DIEGO MEZA
2026-04-27T14:39:43.499Z,5,00069_Revista_Argentina_de_Antropolo_2019.pdf,0,0,0,No evaluable,se trata de un censo,1,0,0,Debilidad importante,DIEGO MEZA
2026-04-27T14:59:02.910Z,6,00092_Acta_Scientiarum_Animal_Scienc_2025.pdf,0,1,1,FF con reconocimiento,,1,1,0,Debilidad importante,DIEGO MEZA
2026-04-27T16:35:10.311Z,1,00033_Praxis_Educativa_2025.pdf,1,0,1,Debilidad importante,,1,0,1,FF clasica,DIEGO MEZA
2026-04-27T16:49:27.074Z,74,00867_Marine_and_Fishery_Sciences_2025.pdf,0,0,1,Sin falla relevante,,1,1,1,FF con reconocimiento,DIEGO MEZA
2026-04-28T00:08:53.459Z,2,00057_RIA_Revista_Investigaciones_Ag_2022.pdf,1,0,0,Debilidad importante,,1,0,1,FF clasica,DIEGO MEZA
2026-04-28T00:13:52.612Z,3,00066_Revista_Argentina_de_Antropolo_2021.pdf,1,0,1,FF clasica,,1,0,1,FF clasica,DIEGO MEZA
2026-04-28T00:16:56.923Z,4,00068_Revista_Argentina_de_Antropolo_2020.pdf,1,0,1,FF clasica,,1,1,1,FF con reconocimiento,DIEGO MEZA
2026-04-28T00:25:04.098Z,5,00069_Revista_Argentina_de_Antropolo_2019.pdf,1,1,0,Debilidad importante,,1,0,0,Debilidad importante,DIEGO MEZA
2026-04-28T00:28:52.312Z,6,00092_Acta_Scientiarum_Animal_Scienc_2025.pdf,1,1,0,Debilidad importante,,1,1,0,Debilidad importante,DIEGO MEZA
2026-04-28T00:33:34.842Z,7,00093_Acta_Scientiarum_Animal_Scienc_2025.pdf,1,0,1,FF clasica,,1,0,1,FF clasica,DIEGO MEZA
2026-04-28T00:37:26.360Z,8,00097_Acta_Scientiarum_Animal_Scienc_2023.pdf,1,0,1,FF clasica,,1,0,1,FF clasica,DIEGO MEZA
2026-04-28T00:40:04.101Z,9,00101_Arquivo_Brasileiro_de_Medicina_2026.pdf,1,0,0,Sin falla relevante,,1,1,1,FF con reconocimiento,DIEGO MEZA
2026-04-28T08:44:59.694Z,43,00529_Cuadernos_de_Geografía_Revista_2023.pdf,1,0,1,FF clasica,,1,1,1,FF con reconocimiento,DIEGO MEZA
2026-04-28T08:48:16.430Z,56,00673_Revista_Andina_de_Educación_2026.pdf,1,1,1,FF con reconocimiento,,1,1,0,Debilidad importante,DIEGO MEZA
2026-04-29T18:08:26.793Z,268,02159_Pesquisa_Brasileira_em_Odontop_2025.pdf,1,1,0,Sin falla relevante,,1,1,1,FF con reconocimiento,DIEGO MEZA
2026-04-29T18:11:59.937Z,284,02215_Revista_Gaúcha_de_Enfermagem_2025.pdf,1,0,1,FF clasica,,1,0,0,Debilidad importante,DIEGO MEZA
2026-04-29T18:15:31.226Z,236,02071_HSJ_2025.pdf,1,0,1,FF clasica,,1,1,1,FF con reconocimiento,DIEGO MEZA
2026-04-29T18:24:58.083Z,1,00033_Praxis_Educativa_2025.pdf,0,0,0,No evaluable,El artículo no usa inferencia estadística explícita; describe hallazgos de una muestra sin generalizar estadísticamente a una población mayor.,1,0,1,FF clasica,gemini_v2
2026-04-29T18:24:58.184Z,2,00057_RIA_Revista_Investigaciones_Ag_2022.pdf,1,0,1,FF clasica,Muestreo no probabilístico de invernaderos (conveniencia/intencional) con extrapolación explícita de prevalencia e incidencia a todo el Cinturón Hortícola Platense sin advertir la limitación.,1,0,1,FF clasica,gemini_v2
2026-04-29T18:24:58.341Z,3,00066_Revista_Argentina_de_Antropolo_2021.pdf,1,0,1,FF clasica,"Muestreo no probabilístico (conveniencia en escuelas públicas) con extrapolación explícita de prevalencias y relaciones a la población escolar del cinturón productivo de La Plata, sin advertir la limi",1,0,1,FF clasica,gemini_v2
2026-04-29T18:24:58.478Z,4,00068_Revista_Argentina_de_Antropolo_2020.pdf,1,1,1,FF con reconocimiento,"Muestreo por conveniencia en escuelas públicas, con extrapolación implícita a la población escolar del periurbano de La Plata, a pesar de reconocer el tipo de muestreo.",1,1,1,FF con reconocimiento,gemini_v2
2026-04-29T18:24:58.641Z,5,00069_Revista_Argentina_de_Antropolo_2019.pdf,0,0,0,No evaluable,"Los datos provienen de censos domiciliarios exhaustivos en las 11 localidades estudiadas, no de un muestreo inferencial para representar una población mayor.",1,0,0,Debilidad importante,gemini_v2
2026-04-29T18:24:58.827Z,6,00092_Acta_Scientiarum_Animal_Scienc_2025.pdf,1,1,1,FF con reconocimiento,"Muestreo no probabilístico (encuesta online voluntaria) y extrapolación a la población general de perros, aunque se reconoce la limitación del tamaño de la muestra para la inferencia estadística.",1,1,0,Debilidad importante,gemini_v2
2026-04-29T18:24:59.295Z,7,00093_Acta_Scientiarum_Animal_Scienc_2025.pdf,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia) de 30 yeguas y extrapolación explícita de hallazgos sobre la microflora vaginal a la población general de yeguas sin advertir las limitaciones.,1,0,1,FF clasica,gemini_v2
2026-04-29T18:24:59.433Z,8,00097_Acta_Scientiarum_Animal_Scienc_2023.pdf,1,0,1,FF clasica,"Muestreo por conveniencia (10 propiedades, 161 animales). Extrapola hallazgos a la región de Placas y usa inferencia estadística sin advertir limitaciones del muestreo no probabilístico.",1,0,1,FF clasica,gemini_v2
2026-04-29T18:25:00.510Z,9,00101_Arquivo_Brasileiro_de_Medicina_2026.pdf,1,0,1,FF clasica,Muestreo por conveniencia de 20 gatos de clínicas y extrapolación explícita a la población general de gatos machos castrados sin advertir claramente las limitaciones del muestreo.,1,1,1,FF con reconocimiento,gemini_v2
2026-04-29T18:25:00.655Z,43,00529_Cuadernos_de_Geografía_Revista_2023.pdf,1,1,1,FF con reconocimiento,"El estudio usa denuncias de una línea de ayuda (muestreo no probabilístico). Aunque reconoce dificultades de reporte, extrapola conclusiones sobre la probabilidad de violencia a mujeres en Bogotá.",1,1,1,FF con reconocimiento,gemini_v2
