revisor,n,A,A_tasa,B,B_tasa,C,C_tasa,AC,AC_tasa,A_noB_C,A_noB_C_tasa,A_B_C,A_B_C_tasa
DIEGO MEZA,86,57,0.6627906976744186,31,0.36046511627906974,72,0.8372093023255814,49,0.5697674418604651,28,0.32558139534883723,21,0.2441860465116279
IA base,346,310,0.8959537572254336,147,0.42485549132947975,232,0.6705202312138728,207,0.5982658959537572,122,0.35260115606936415,85,0.24566473988439305
JulioVelotto,10,8,0.8,1,0.1,7,0.7,6,0.6,6,0.6,0,0
claude,12,6,0.5,0,0,6,0.5,6,0.5,6,0.5,0,0
claude_haiku,346,248,0.7167630057803468,96,0.2774566473988439,254,0.7341040462427746,224,0.6473988439306358,160,0.4624277456647399,64,0.18497109826589594
codex_gpt,346,243,0.7023121387283237,130,0.37572254335260113,188,0.5433526011560693,184,0.5317919075144508,96,0.2774566473988439,88,0.2543352601156069
gemini_flash,345,294,0.8521739130434782,102,0.2956521739130435,291,0.8434782608695652,273,0.7913043478260869,192,0.5565217391304348,81,0.23478260869565218
gemini_v2,12,10,0.8333333333333334,5,0.4166666666666667,10,0.8333333333333334,10,0.8333333333333334,5,0.4166666666666667,5,0.4166666666666667
Humanos agregados,96,65,0.6770833333333334,32,0.3333333333333333,79,0.8229166666666666,55,0.5729166666666666,34,0.3541666666666667,21,0.21875
IAs agregadas,1383,1095,0.7917570498915402,475,0.34345625451916123,965,0.6977584960231381,888,0.6420824295010846,570,0.4121475054229935,318,0.2299349240780911
