pdf_id,A,B,C,D,notas,revisor
14,1,0,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
15,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
16,1,1,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
17,0,1,0,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
18,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=BC; no es evaluacion humana observada,DIEGO MEZA
19,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
20,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
21,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
22,1,0,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
23,1,0,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
24,1,1,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
25,1,0,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
26,1,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
27,1,0,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABD; no es evaluacion humana observada,DIEGO MEZA
28,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
29,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
30,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AD; no es evaluacion humana observada,DIEGO MEZA
31,1,1,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
32,0,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
33,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
36,1,1,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
41,0,1,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=C; no es evaluacion humana observada,DIEGO MEZA
42,1,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
44,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
45,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
46,1,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
49,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
50,1,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
51,0,0,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
52,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
53,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
54,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
55,1,0,0,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AB; no es evaluacion humana observada,DIEGO MEZA
57,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
59,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
60,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
61,0,0,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
62,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
63,0,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
64,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
66,0,1,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
67,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
69,1,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
70,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
81,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
82,0,0,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
83,1,1,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
84,1,1,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
85,0,1,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
86,0,1,0,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
88,0,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=CD; no es evaluacion humana observada,DIEGO MEZA
89,1,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
91,1,1,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
92,0,0,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
93,0,0,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
94,0,1,0,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
95,1,1,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AB; no es evaluacion humana observada,DIEGO MEZA
96,0,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=BC; no es evaluacion humana observada,DIEGO MEZA
97,0,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
109,0,1,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=BC; no es evaluacion humana observada,DIEGO MEZA
111,1,0,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
112,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
113,1,1,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
114,1,0,0,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AD; no es evaluacion humana observada,DIEGO MEZA
115,0,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=C; no es evaluacion humana observada,DIEGO MEZA
116,0,0,0,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AB; no es evaluacion humana observada,DIEGO MEZA
117,0,0,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
118,1,1,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AD; no es evaluacion humana observada,DIEGO MEZA
119,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
120,1,0,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
121,1,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
122,0,0,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=C; no es evaluacion humana observada,DIEGO MEZA
123,1,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=CD; no es evaluacion humana observada,DIEGO MEZA
124,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
125,0,0,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABD; no es evaluacion humana observada,DIEGO MEZA
126,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
127,0,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
128,0,1,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
129,0,0,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
130,0,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
133,1,1,0,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
139,1,1,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AB; no es evaluacion humana observada,DIEGO MEZA
140,1,0,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
141,1,0,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
