archivo,titulo,anio,A,evidencia_A,B,evidencia_B,C,evidencia_C,D,confianza
02371_Revista_Latinoamericana_de_Bio_2025.pdf,La Odontopediatría en las redes sociales...,2025,Sí,"""buscou-se... por perfis de Odontopediatria nesta rede social""",Sí,"""limitações dessa pesquisa, como o funcionamento do mecanismo de busca""",Sí,"""a maioria dos perfis... encontrados no Instagram estão em desacordo""",Falla fuerte con reconocimiento,1
02381_Revista_de_Nutrición_Clínica_y_2026.pdf,Asociación entre fuerza de prensión manual...,2026,Sí,"""Se realizó un muestreo consecutivo""",Sí,"""heterogeneidad en los motivos de ingreso... representan un posible sesgo""",Sí,"""la FPM podría utilizarse para evaluar el estado nutricional""",Falla fuerte con reconocimiento,1
02383_Revista_de_Nutrición_Clínica_y_2025.pdf,Diseño y evaluación de un mosaico hospitalario...,2025,Sí,"""muestreo no probabilístico, intencional y por conveniencia""",Sí,"""limitación... dificultad presentada frente a la selección de participantes""",No,"""permitió cubrir el requerimiento... de la mayoría de los pacientes""",Debilidad importante,1
02385_Revista_de_Nutrición_Clínica_y_2025.pdf,Premio de investigación José Félix Patiño...,2025,No,Sin evidencia clara de muestreo en los resúmenes,No,Sin evidencia,No,Sin evidencia,No evaluable,1
02387_Revista_de_Nutrición_Clínica_y_2024.pdf,Comprehensive nutritional assessment...,2024,Sí,"""14 patients... and 14 individuals... descriptive cross-sectional study""",Sí,"""the sample size is small... it was not possible to collect data completely""",Sí,"""assessment... is crucial for the timely diagnosis of malnourished patients""",Falla fuerte con reconocimiento,1
02391_Revista_de_la_Facultad_de_Medi_2023.pdf,"Vasectomía: conocimientos, percepción...",2023,Sí,"""Participants were recruited by convenience sampling""",Sí,"""study population was not selected by randomized sampling... limiting data""",Sí,"""necesario desarrollar estrategias... para informar... general population""",Falla fuerte con reconocimiento,1
02393_Revista_de_la_Facultad_de_Medi_2021.pdf,Conocimiento de odontólogos chilenos...,2021,Sí,"""The study population was obtained by convenience sampling""",Sí,"""main limitation... is its sample size, as it does not allow generalizing""",Sí,"""dentists in Chile should have better access to information""",Falla fuerte con reconocimiento,1
02396_Revista_de_la_Facultad_de_Medi_2021.pdf,Prevalencia... de la infección del tracto urinario...,2021,No,"""sample was selected by simple random sampling using a random number table""",Sí,"""potential bias of classification due to the underreporting of data""",Sí,"""data reported here may help develop public policies... in similar populations""",Sin falla relevante,1
02397_Revista_de_la_Facultad_de_Medi_2020.pdf,Cambios en los parámetros antropométricos...,2020,Sí,"""Participants were selected using convenience sampling""",Sí,"""non-probabilistic selection... restrains the external validity""",Sí,"""recommend that institutions encourage the practice of PA in older adults""",Falla fuerte con reconocimiento,1
02411_Actas_Médicas_2026.pdf,Habilidades comunicativas en la formación médica...,2026,No,"""Se aplicó un cuestionario... a una muestra probabilística de 130 estudiantes""",Sí,"""metodología se basa en autopercepción... introduce un posible sesgo""",Sí,"""garantizará profesionales capaces de liderar un sistema de salud más efectivo""",Sin falla relevante,1
02412_Actas_Médicas_2025.pdf,Análisis observacional multicéntrico de la mortalidad...,2025,No,"""La muestra fue probabilística""",Sí,"""naturaleza observacional... capacidad de establecer relaciones causales limitada""",Sí,"""incluye un grupo étnico diverso de pacientes adultos ecuatorianos""",Sin falla relevante,1
02415_Actas_Médicas_2025.pdf,Factores de riesgo... hemorragia post-parto...,2025,No,"""La muestra fue probabilística""",Sí,"""Una debilidad del estudio es la falta de registro del desenlace""",Sí,"""subrayan la importancia... en mujeres jóvenes y multigestas""",Sin falla relevante,1
02417_Actas_Médicas_2025.pdf,Prevalencia de accidente cerebrovascular...,2025,No,"""La muestra fue probabilística""",No,Sin evidencia,Sí,"""determinar la vulnerabilidad de este grupo etario y tomarla en consideración""",Sin falla relevante,1
02420_Actas_Médicas_2025.pdf,Relación entre la presión sistólica...,2025,No,"""La muestra fue probabilística""",Sí,"""universo de pacientes escogidos no representa a la población general""",Sí,"""imprescindible un mayor rigor metodológico... para extrapolar estos datos""",Sin falla relevante,1
02431_Revista_de_Veterinaria_y_Zoote_2026.pdf,Características epidemiológicas de los propietarios...,2026,No,"""muestreo se realizó por conglomerados... seleccionando aleatoriamente""",No,Sin evidencia,Sí,"""que los resultados se puedan extrapolar a otras poblaciones""",Sin falla relevante,1
02437_Revista_de_Veterinaria_y_Zoote_2025.pdf,Evaluación de los efectos letales del glifosato...,2025,Sí,"""Se seleccionó una muestra intencional de 15 apicultores""",No,Sin evidencia,Sí,"""glifosato representa una amenaza significativa para la apicultura local""",Falla fuerte clásica,1
02438_Revista_de_Veterinaria_y_Zoote_2025.pdf,Evaluación efectiva... de lechones destetados...,2025,No,"""24 lechones fueron asignados aleatoriamente""",No,Sin evidencia,Sí,"""castración hormonal es muy favorable para los parámetros productivos""",Sin falla relevante,1
02445_Enfermería_Cuidados_Humanizado_2025.pdf,Caracterización de la calidad de vida...,2025,No,"""muestra aleatoria estratificada de 217 enfermeros""",Sí,"""resultados deben ser manejados con mucha prudencia""",Sí,"""Caracterización... en profesionales de enfermería en hospitales públicos""",Sin falla relevante,1
02454_Acta_Scientiarum_Education_2026.pdf,The relations... development and teacher self-efficacy...,2026,No,"""stratified survey (n = 297)""",Sí,"""limitation... lies in the territorial specificity of the sample""",Sí,"""professional development in Mongolia is most effective when...""",Sin falla relevante,1
02455_Acta_Scientiarum_Education_2026.pdf,The relationship of emotional intelligence...,2026,No,"""stratified random sample""",Sí,"""limitations due to the local nature... limits broad generalisation""",Sí,"""increased psico-emotional stability... improved the overall effectiveness""",Sin falla relevante,1
02503_Vitruvian_Cogitationes_2025.pdf,Astronomia e formação de professores...,2025,Sí,"""42 se disponibilizaram em participar da pesquisa""",Sí,"""limitações dessa pesquisa... totalizando 13 escolas""",Sí,"""reinventar e inovar essas formações, tendo como foco a Educação Básica""",Falla fuerte con reconocimiento,1
02527_Ducere_2025.pdf,Distribución espacial del derecho a la educación...,2025,Sí,"""municipios (14) seleccionados por conveniencia""",No,Sin evidencia,Sí,"""impacta los proyectos de vida de los jóvenes... su salida del sistema""",Falla fuerte clásica,1
02533_Góndola_Enseñanza_y_Aprendizaj_2025.pdf,O impacto do distanciamento social...,2025,Sí,"""composto por estudantes voluntários""",Sí,"""Reconhecemos... limitações como o número reduzido de participantes""",Sí,"""não substituem o valor formativo... reforça a relevância de modelos híbridos""",Falla fuerte con reconocimiento,1
02538_Góndola_Enseñanza_y_Aprendizaj_2024.pdf,Percepciones... sobre YouTube como fuente...,2024,Sí,"""muestreo incidental, es decir, por accesibilidad""",Sí,"""dada la limitación de nuestra muestra... no pueden ser generalizables""",Sí,"""resultar útiles para detectar aspectos... cuando usan YouTube""",Falla fuerte con reconocimiento,1
02543_Profile_Issues_in_Teachers_Pro_2026.pdf,Self-regulated learning... Colombian universities...,2026,Sí,"""26 universities... however, only... eight provided complete info""",Sí,"""due to partial completion, the number of respondents varied slightly""",Sí,"""propose pedagogical applications... in Colombian universities""",Falla fuerte con reconocimiento,1
02544_Profile_Issues_in_Teachers_Pro_2026.pdf,Teacher capabilities... Insights from Ecuador,2026,Sí,"""37 teacher educators... [from survey respondents with willingness]""",No,Sin evidencia,Sí,"""university-based ELTE in Ecuador [Insights from Ecuador]""",Falla fuerte clásica,1
02548_Profile_Issues_in_Teachers_Pro_2024.pdf,(De)Motivating factors among TESOL...,2024,Sí,"""individual interview with purposefully sampled participants""",No,Sin evidencia,Sí,"""(de)motivating factors among TESOL professionals... from South America""",Falla fuerte clásica,1
02554_Alternancia_2024.pdf,Relación entre calidad de vida y bienestar... TEA,2024,Sí,"""muestra de este estudio es de tipo censal... 21 padres de familia""",Sí,"""limitación reside en... el centro cuenta con un número limitado de padres""",Sí,"""existe una relación... en los padres de niños con autismo""",Falla fuerte con reconocimiento,1
02556_Alternancia_2024.pdf,Niveles de Comprensión Lectora: Impacto audiovisual,2024,Sí,"""diseño cuasi-experimental... imposibilidad de asignación aleatoria""",Sí,"""asignación no aleatoria... podría introducir sesgos""",Sí,"""uso de material audiovisual mejora la comprensión lectora en estudiantes""",Falla fuerte con reconocimiento,1
02558_Alternancia_2024.pdf,Relación entre resiliencia y mobbing... Achocalla,2024,No,"""se procedió a hacer una selección... aplicando un muestreo aleatorio simple""",No,Sin evidencia,Sí,"""solución al acoso laboral... está en otorgarle... autonomía... a cada trabajador""",Sin falla relevante,1
02225_Revista_Iberoamericana_de_Ciru_2024.pdf,Placa volar bloqueada en fracturas de radio distal,2024,Sí,"""Estudio retrospectivo que incluyó 81 pacientes intervenidos de FEDR... en nuestro centro hospitalario""",Sí,"""El presente trabajo tiene alguna limitación, como el carácter retrospectivo""",Sí,"""Para el tratamiento de las FEDR, la técnica MIPO... puede lograr resultados funcionales""",Falla fuerte con reconocimiento,Alta
02231_Revista_Paulista_de_Pediatria_2026.pdf,Factors associated with meeting the recommendations for physical activity...,2026,No,"""The sample selection occurred in two stages... classes were randomly selected""",Sí,"""may not be generalizable to all adolescents in the Metropolitan Region of Recife""",Sí,"""Intrapersonal, interpersonal, and community factors are associated with adherence... in adolescents""",Sin falla relevante,Alta
02232_Revista_Paulista_de_Pediatria_2025.pdf,Factors influencing the growth of preterm infants in the first two years of life,2025,Sí,"""PI <33 weeks... monitored at the institution’s high risk outpatient clinic""",Sí,"""acknowledging limitations in establishing direct causality""",Sí,"""The growth of PI in the first 24 months CA is influenced by nutritional condition""",Falla fuerte con reconocimiento,Alta
02233_Revista_Paulista_de_Pediatria_2025.pdf,Quality of life in patients with spinal muscular atrophy in Brazil,2025,Sí,"""invitations to take part in the study were posted on the Association’s social networks""",Sí,"""Because it was a remote study, many patients were not involved""",Sí,"""Patients with type 2 SMA had a worse perception of their quality of life than other patients""",Falla fuerte con reconocimiento,Alta
02235_Revista_Paulista_de_Pediatria_2024.pdf,"Associations of screen time with symptoms of stress, anxiety, and depression in adolescents",2024,Sí,"""Six schools were considered eligible, and four agreed to participate""",Sí,"""cross-sectional design... prevents us from inferring causality""",Sí,"""Screen time was positively associated with depressive, anxiety, and stress symptoms in adolescents""",Falla fuerte con reconocimiento,Alta
02236_Revista_Paulista_de_Pediatria_2024.pdf,Exploring adolescent suicide attempts before and during the coronavirus disease 2019 pandemic,2024,Sí,"""assessed the medical records of adolescents... in two emergency rooms linked to a teaching hospital""",Sí,"""conducted in only one health service with a retrospective design""",Sí,"""The COVID-19 pandemic did not show an influence on the number of suicide attempt cases""",Falla fuerte con reconocimiento,Alta
02240_Revista_Paulista_de_Pediatria_2024.pdf,Religiosity and alcohol use in adolescents with orofacial cleft,2024,Sí,"""A convenience (non-random) sample was selected from the institutions""",Sí,"""results may not represent the national reality""",Sí,"""Adolescents with higher levels of organizational and intrinsic religiosity used less alcohol""",Falla fuerte con reconocimiento,Alta
02241_Revista_da_Faculdade_de_Odonto_2025.pdf,Análise dos protocolos de ajuste de placa estabilizadora utilizados por cirurgiões-dentistas...,2025,Sí,"""A amostra, do tipo não probabilística de conveniência, foi composta por 177 cirurgiões-dentistas""",Sí,"""nossa amostra de especialistas é bem inferior a de não especialistas, o que configura uma limitação""",Sí,"""O estudo destaca a necessidade de pesquisas clínicas para desenvolver protocolos específicos""",Falla fuerte con reconocimiento,Alta
02248_Revista_da_Faculdade_de_Odonto_2021.pdf,Factors associated with edentulism in individuals with chronic kidney disease...,2021,Sí,"""A convenience (non-random) sample was selected from the institutions""",Sí,"""which does not ensure the external validity of the results""",Sí,"""Edentulism was associated with low schooling, a lack of dental care""",Falla fuerte con reconocimiento,Alta
02251_Revista_de_Enfermagem_da_UFPI_2026.pdf,Prevalência e fatores associados à ocorrência de casos de dengue grave no Maranhão,2026,No,"""analisou todos os casos de dengue notificados no Sistema de Informação de Agravos de Notificação""",Sí,"""não permite ao pesquisador controlar possíveis subnotificações, omissões ou registros incompletos""",Sí,"""Fatores sociodemográficos e clínicos influenciam a gravidade da dengue no Maranhão""",Sin falla relevante,Alta
